t,z1,z1dao,z2,z2dao
0.0,0.0,0.0,0.0,0.0
0.2,0.0044116543042915,0.0690100748715967,0.0217490316195218,0.18062585185623
0.4,0.0350896155307078,0.250142948626351,0.0650398741986137,0.24366858242272
0.6,0.10029095874859,0.385098446878997,0.11389511871409,0.247356505836273
0.8,0.181136174730897,0.330807294667997,0.165927340089051,0.226942665733005
1.1,0.236262525974175,0.145195731364503,0.208834911957958,0.135114659018936
1.3,0.24745636535061,-0.0281695283693268,0.220931193543941,-0.0217329082252577
1.5,0.217418761185168,-0.235461924800569,0.188184294504807,-0.265328824184306
1.7,0.160620928378573,-0.420588764330876,0.126433103591743,-0.43725015431273
1.8,0.0801646421625467,-0.597268390663494,0.0472811917119201,-0.558574654242122
2.1,-0.0978813405869243,-0.779185869586179,-0.111230176439292,-0.678495984973658
2.3,-0.248076841750704,-0.780660521084739,-0.243000446994204,-0.694843796745625
2.4,-0.38895908678627,-0.686041161212158,-0.369717529160059,-0.621586937301307
2.7,-0.526260003226551,-0.464912820402161,-0.492301758318546,-0.399402993518535
2.8,-0.572061289426877,-0.311118138746083,-0.53040471845793,-0.244030418294052
3.0,-0.601971591233428,0.0605956672912788,-0.54745361357082,0.100247089367715
3.2,-0.561877719509534,0.393720909974689,-0.504385953339732,0.38498400097812
3.4,-0.438406671442466,0.766127646302811,-0.388658922324359,0.704580390680286
3.6,-0.245107056485049,1.04380080321664,-0.210941566538474,0.963552804964893
3.8,-0.0047694860816562,1.19940127164726,0.0115515773112346,1.11161061097029
4.1,0.255224062828054,1.21683666060186,0.251107059178153,1.11116581771513
4.3,0.502067223000997,1.07253032542885,0.474123997148904,0.957341414985202
4.4,0.644966372364928,0.878660635759007,0.600907547816764,0.773977486531845
4.7,0.804826719128768,0.415782813775304,0.740418749662529,0.357562314906036
4.9,0.841808896633667,-0.0866701837067906,0.770203356052802,-0.0937756823796214
5.1,0.780057072025742,-0.541039440199319,0.711286347163857,-0.506226246083112
5.3,0.633459295126983,-0.945209575510905,0.574862493709467,-0.877678178453585
5.4,0.47347341279577,-1.1925095742395,0.426519228870372,-1.10496411479789
5.7,0.0690846339511124,-1.46623888105621,0.0534489633928524,-1.34575075952653
5.9,-0.151130897366018,-1.47109210160548,-0.148098963014617,-1.3416309597884
6.0,-0.365119308466641,-1.38123158907607,-0.342798032837865,-1.25303517493345
6.3,-0.719966021838512,-0.941666522265783,-0.66374565028988,-0.849710588344845
6.5,-0.837625060788954,-0.622236300734326,-0.769744038879473,-0.559823360253228
6.6,-0.904460178264454,-0.263913999974017,-0.829647275359419,-0.234515235064471
6.8,-0.897883896768491,0.320749779759839,-0.822677492929354,0.294322721066069
7.1,-0.759573190877373,0.848011290407225,-0.696365240199235,0.774183732156416
7.3,-0.483021365712344,1.26276471502238,-0.443216903870287,1.15886740699368
7.5,-0.29495693497017,1.39149988357928,-0.270607811077409,1.27756414340097
7.6,-0.094065966208652,1.44293211812872,-0.0863492985096534,1.32179854053463
7.9,0.301408707566953,1.30608878670342,0.274772075730095,1.18834934859554
8.0,0.482042465788393,1.11394392098015,0.439087112193722,1.01316608898909
8.3,0.734229114631283,0.550149299173863,0.669458349594765,0.508812173683512
8.5,0.791938312905674,0.220458857901458,0.723515109820662,0.213643705701285
8.6,0.800309939209027,-0.110802456790337,0.733302122652758,-0.0847455218477892
8.9,0.672215779774007,-0.702742692697304,0.620990451803247,-0.630740949286325
9.1,0.54382613102281,-0.922539368905534,0.50505203452994,-0.837868311640794
9.3,0.386397067962456,-1.0695211771251,0.361819450643046,-0.974884715109955
9.4,0.212005169792473,-1.13696584348995,0.202933512257059,-1.03468277294326
9.7,-0.136244235252897,-1.02482590493067,-0.113612637698616,-0.931394780944038
9.9,-0.25760858170047,-0.895642483519073,-0.22419885911887,-0.819206251301628
10.1,-0.440767054929791,-0.541341712175443,-0.39371163999914,-0.511690488343205
10.2,-0.496400637792749,-0.339447894003938,-0.447076634497025,-0.333306551046352
10.5,-0.531125692329925,0.0620189169688867,-0.485485000401626,0.0293363548721993
10.6,-0.511565298624755,0.240638647384946,-0.471015794016915,0.194764679848022
10.9,-0.412304424060737,0.512426951436944,-0.386007560383461,0.448942420069804
11.1,-0.258761546053757,0.642595893225524,-0.250493446659413,0.569038676137793
11.3,-0.173398741939725,0.646882206855217,-0.174772667703242,0.574704278139006
11.5,-0.0138461464959655,0.541329959956634,-0.0319146300927917,0.491096474476898
11.7,0.0513837406001093,0.445461422754099,0.0277904692135026,0.412607919699929
11.9,0.13888244288474,0.214756175950137,0.111371147556112,0.217013039808262
12.0,0.158796367059902,0.1037813103881,0.132517612504386,0.120580149711396
12.3,0.160077651750451,-0.0826998872658736,0.140887152832364,-0.0450516948152088
12.4,0.145382521358047,-0.147302794414544,0.13133324798793,-0.103608527986401
